	tcc	time
0	1.0	2019-01-01 00:00:00
1	1.0	2019-01-01 01:00:00
2	1.0	2019-01-01 02:00:00
3	1.0	2019-01-01 03:00:00
4	1.0	2019-01-01 04:00:00
5	1.0	2019-01-01 05:00:00
6	1.0	2019-01-01 06:00:00
7	1.0	2019-01-01 07:00:00
8	1.0	2019-01-01 08:00:00
9	1.0	2019-01-01 09:00:00
10	1.0	2019-01-01 10:00:00
11	1.0	2019-01-01 11:00:00
12	1.0	2019-01-01 12:00:00
13	1.0	2019-01-01 13:00:00
14	1.0	2019-01-01 14:00:00
15	0.99383545	2019-01-01 15:00:00
16	1.0	2019-01-01 16:00:00
17	1.0	2019-01-01 17:00:00
18	1.0	2019-01-01 18:00:00
19	1.0	2019-01-01 19:00:00
20	0.9753113	2019-01-01 20:00:00
21	0.9721985	2019-01-01 21:00:00
22	0.9413147	2019-01-01 22:00:00
23	0.8788452	2019-01-01 23:00:00
24	0.50476074	2019-01-02 00:00:00
25	0.6039734	2019-01-02 01:00:00
26	0.8447571	2019-01-02 02:00:00
27	0.7036133	2019-01-02 03:00:00
28	0.9536438	2019-01-02 04:00:00
29	1.0	2019-01-02 05:00:00
30	0.9687805	2019-01-02 06:00:00
31	0.8831482	2019-01-02 07:00:00
32	0.7967529	2019-01-02 08:00:00
33	0.5260315	2019-01-02 09:00:00
34	0.6930847	2019-01-02 10:00:00
35	0.7692261	2019-01-02 11:00:00
36	0.6777954	2019-01-02 12:00:00
37	0.62677	2019-01-02 13:00:00
38	0.648407	2019-01-02 14:00:00
39	0.8122864	2019-01-02 15:00:00
40	0.4704895	2019-01-02 16:00:00
41	0.36779785	2019-01-02 17:00:00
42	0.402771	2019-01-02 18:00:00
43	0.20181274	2019-01-02 19:00:00
44	0.42123413	2019-01-02 20:00:00
45	0.56048584	2019-01-02 21:00:00
46	0.8356323	2019-01-02 22:00:00
47	0.6129761	2019-01-02 23:00:00
48	0.60250854	2019-01-03 00:00:00
49	0.42440796	2019-01-03 01:00:00
50	0.41885376	2019-01-03 02:00:00
51	0.6080322	2019-01-03 03:00:00
52	0.5977478	2019-01-03 04:00:00
53	0.6343994	2019-01-03 05:00:00
54	0.5863037	2019-01-03 06:00:00
55	0.7154846	2019-01-03 07:00:00
56	0.63134766	2019-01-03 08:00:00
57	0.51989746	2019-01-03 09:00:00
58	0.89538574	2019-01-03 10:00:00
59	0.9745178	2019-01-03 11:00:00
60	1.0	2019-01-03 12:00:00
61	1.0	2019-01-03 13:00:00
62	0.9954834	2019-01-03 14:00:00
63	0.9755249	2019-01-03 15:00:00
64	0.8955078	2019-01-03 16:00:00
65	0.9373169	2019-01-03 17:00:00
66	0.913147	2019-01-03 18:00:00
67	0.8893738	2019-01-03 19:00:00
68	0.87197876	2019-01-03 20:00:00
69	0.91070557	2019-01-03 21:00:00
70	0.39691162	2019-01-03 22:00:00
71	0.40985107	2019-01-03 23:00:00
72	0.5682068	2019-01-04 00:00:00
73	0.7779541	2019-01-04 01:00:00
74	0.6811218	2019-01-04 02:00:00
75	0.7473755	2019-01-04 03:00:00
76	0.78256226	2019-01-04 04:00:00
77	0.87750244	2019-01-04 05:00:00
78	0.9700012	2019-01-04 06:00:00
79	1.0	2019-01-04 07:00:00
80	1.0	2019-01-04 08:00:00
81	1.0	2019-01-04 09:00:00
82	1.0	2019-01-04 10:00:00
83	1.0	2019-01-04 11:00:00
84	1.0	2019-01-04 12:00:00
85	1.0	2019-01-04 13:00:00
86	1.0	2019-01-04 14:00:00
87	1.0	2019-01-04 15:00:00
88	1.0	2019-01-04 16:00:00
89	1.0	2019-01-04 17:00:00
90	1.0	2019-01-04 18:00:00
91	1.0	2019-01-04 19:00:00
92	1.0	2019-01-04 20:00:00
93	1.0	2019-01-04 21:00:00
94	0.99383545	2019-01-04 22:00:00
95	0.9674072	2019-01-04 23:00:00
96	1.0	2019-01-05 00:00:00
97	1.0	2019-01-05 01:00:00
98	1.0	2019-01-05 02:00:00
99	1.0	2019-01-05 03:00:00
100	1.0	2019-01-05 04:00:00
101	1.0	2019-01-05 05:00:00
102	1.0	2019-01-05 06:00:00
103	1.0	2019-01-05 07:00:00
104	1.0	2019-01-05 08:00:00
105	1.0	2019-01-05 09:00:00
106	1.0	2019-01-05 10:00:00
107	0.99383545	2019-01-05 11:00:00
108	1.0	2019-01-05 12:00:00
109	1.0	2019-01-05 13:00:00
110	1.0	2019-01-05 14:00:00
111	1.0	2019-01-05 15:00:00
112	0.99572754	2019-01-05 16:00:00
113	0.9985657	2019-01-05 17:00:00
114	0.99432373	2019-01-05 18:00:00
115	1.0	2019-01-05 19:00:00
116	1.0	2019-01-05 20:00:00
117	1.0	2019-01-05 21:00:00
118	1.0	2019-01-05 22:00:00
119	1.0	2019-01-05 23:00:00
120	1.0	2019-01-06 00:00:00
121	1.0	2019-01-06 01:00:00
122	0.99072266	2019-01-06 02:00:00
123	0.99072266	2019-01-06 03:00:00
124	1.0	2019-01-06 04:00:00
125	1.0	2019-01-06 05:00:00
126	0.98620605	2019-01-06 06:00:00
127	0.92755127	2019-01-06 07:00:00
128	0.94647217	2019-01-06 08:00:00
129	0.87628174	2019-01-06 09:00:00
130	0.95166016	2019-01-06 10:00:00
131	0.9630432	2019-01-06 11:00:00
132	0.9530945	2019-01-06 12:00:00
133	0.6672058	2019-01-06 13:00:00
134	0.645874	2019-01-06 14:00:00
135	0.8614807	2019-01-06 15:00:00
136	0.97787476	2019-01-06 16:00:00
137	1.0	2019-01-06 17:00:00
138	0.9985657	2019-01-06 18:00:00
139	1.0	2019-01-06 19:00:00
140	1.0	2019-01-06 20:00:00
141	0.9985657	2019-01-06 21:00:00
142	1.0	2019-01-06 22:00:00
143	0.9930725	2019-01-06 23:00:00
144	0.9940796	2019-01-07 00:00:00
145	0.9826355	2019-01-07 01:00:00
146	0.99072266	2019-01-07 02:00:00
147	1.0	2019-01-07 03:00:00
148	0.9954834	2019-01-07 04:00:00
149	1.0	2019-01-07 05:00:00
150	1.0	2019-01-07 06:00:00
151	1.0	2019-01-07 07:00:00
152	1.0	2019-01-07 08:00:00
153	1.0	2019-01-07 09:00:00
154	1.0	2019-01-07 10:00:00
155	0.9928894	2019-01-07 11:00:00
156	0.9928894	2019-01-07 12:00:00
157	0.9985657	2019-01-07 13:00:00
158	1.0	2019-01-07 14:00:00
159	1.0	2019-01-07 15:00:00
160	0.9859314	2019-01-07 16:00:00
161	0.99450684	2019-01-07 17:00:00
162	1.0	2019-01-07 18:00:00
163	0.9560852	2019-01-07 19:00:00
164	0.99121094	2019-01-07 20:00:00
165	0.98999023	2019-01-07 21:00:00
166	1.0	2019-01-07 22:00:00
167	1.0	2019-01-07 23:00:00
168	1.0	2019-01-08 00:00:00
169	1.0	2019-01-08 01:00:00
170	1.0	2019-01-08 02:00:00
171	1.0	2019-01-08 03:00:00
172	1.0	2019-01-08 04:00:00
173	1.0	2019-01-08 05:00:00
174	1.0	2019-01-08 06:00:00
175	1.0	2019-01-08 07:00:00
176	1.0	2019-01-08 08:00:00
177	0.9602051	2019-01-08 09:00:00
178	0.96603394	2019-01-08 10:00:00
179	1.0	2019-01-08 11:00:00
180	1.0	2019-01-08 12:00:00
181	0.99142456	2019-01-08 13:00:00
182	1.0	2019-01-08 14:00:00
183	0.97476196	2019-01-08 15:00:00
